State,county_key,GEOID,NAME,STNAME,nufus_2022,alan_sqmi,nufus_yogunlugu,kentsel_kirsal,birlesik_kayit
AK,aleutians east,02013,Aleutians East Borough,Alaska,3453,6986.254,0.49,6.0,False
AK,aleutians west,02016,Aleutians West Census Area,Alaska,5115,4393.051,1.16,6.0,False
AK,anchorage,02020,Anchorage Municipality,Alaska,287520,1707.069,168.43,3.0,False
AK,bethel,02050,Bethel Census Area,Alaska,18272,40660.586,0.45,6.0,False
AK,bristol bay,02060,Bristol Bay Borough,Alaska,877,481.382,1.82,6.0,False
AK,chugach,02063,Chugach Census Area,Alaska,6910,9575.39,0.72,6.0,False
AK,copper river,02066,Copper River Census Area,Alaska,2607,24646.759,0.11,6.0,False
AK,denali,02068,Denali Borough,Alaska,1583,12641.049,0.13,6.0,False
AK,dillingham,02070,Dillingham Census Area,Alaska,4716,18335.796,0.26,6.0,False
AK,fairbanks north star,02090,Fairbanks North Star Borough,Alaska,95749,7334.824,13.05,4.0,False
AK,haines,02100,Haines Borough,Alaska,2079,2334.932,0.89,6.0,False
AK,hoonah-angoon,02105,Hoonah-Angoon Census Area,Alaska,2282,6560.319,0.35,6.0,False
AK,juneau,02110,Juneau City and Borough,Alaska,31742,2702.924,11.74,5.0,False
AK,kenai peninsula,02122,Kenai Peninsula Borough,Alaska,60631,16017.581,3.79,6.0,False
AK,ketchikan gateway,02130,Ketchikan Gateway Borough,Alaska,13719,4857.091,2.82,5.0,False
AK,kodiak island,02150,Kodiak Island Borough,Alaska,12655,6689.486,1.89,6.0,False
AK,kusilvak,02158,Kusilvak Census Area,Alaska,8196,17077.965,0.48,6.0,False
AK,lake and peninsula,02164,Lake and Peninsula Borough,Alaska,1375,23831.019,0.06,6.0,False
AK,matanuska-susitna,02170,Matanuska-Susitna Borough,Alaska,113505,24707.334,4.59,3.0,False
AK,nome,02180,Nome Census Area,Alaska,9804,22969.694,0.43,6.0,False
AK,north slope,02185,North Slope Borough,Alaska,10789,88792.798,0.12,6.0,False
AK,northwest arctic,02188,Northwest Arctic Borough,Alaska,7401,35671.697,0.21,6.0,False
AK,petersburg,02195,Petersburg Borough,Alaska,3381,2900.889,1.17,6.0,False
AK,prince of wales-hyder,02198,Prince of Wales-Hyder Census Area,Alaska,5655,5267.636,1.07,6.0,False
AK,sitka,02220,Sitka City and Borough,Alaska,8370,2870.101,2.92,6.0,False
AK,skagway,02230,Skagway Municipality,Alaska,1096,442.928,2.47,6.0,False
AK,southeast fairbanks,02240,Southeast Fairbanks Census Area,Alaska,7039,24832.27,0.28,6.0,False
AK,wrangell,02275,Wrangell City and Borough,Alaska,2071,2556.097,0.81,6.0,False
AK,yakutat,02282,Yakutat City and Borough,Alaska,685,7627.587,0.09,6.0,False
AK,yukon-koyukuk,02290,Yukon-Koyukuk Census Area,Alaska,5165,145769.125,0.04,6.0,False
AL,autauga,01001,Autauga County,Alabama,59736,594.455,100.49,3.0,False
AL,baldwin,01003,Baldwin County,Alabama,246577,1589.884,155.09,4.0,False
AL,barbour,01005,Barbour County,Alabama,24722,885.008,27.93,5.0,False
AL,bibb,01007,Bibb County,Alabama,21983,622.47,35.32,2.0,False
AL,blount,01009,Blount County,Alabama,59491,644.891,92.25,2.0,False
AL,bullock,01011,Bullock County,Alabama,10126,622.815,16.26,6.0,False
